content,score
good,5
"pesan gofood masak disuruh nunggu driver sampai hampir 2 jam, mengecewakan sekali akhirnya pesanan datang ketika sudah makan dari beli yang lain karena nunggu terlalu lama. mau dibatalin tidak bisa, kenapa sih susah sekali untuk pembatalan saja padahal jelas2 nunggunya terlalu lama, mohon diperbaiki untuk sistem tunggu maksimal mungkin sekitar 15 menit saja selebihnya pembeli berhak untuk membatalkan jika menunggu terlalu lama bukan malah disuruh nunggu sampai hampir 2 jam yaa kelaparan dong.",1
mantap,5
sering kecewa dari gofood. sudah nunggu lama makanan sudah jadi tapi tidak ada driver tiba2 pesanan dibatalkan.,1
susah banget cari driver utk gofood. pesan makanan sudah nunggu lama 1 jam tetap tidak dapat driver. pesan ulang... jg begitu nunggu lama 1 jam tidak dapat driver. ganti resto tetap sama sudah nunggu 1 jam tetap tidak dpt driver. pesan dari jam 6 sore sampai jam 9 malam.... hasilnya zonk. cuma capek nunggu.,3
sejauh ini sangat user friendly,5
"lama dan susah bgt dapet driver kenapa sii uda 2kali pesen kaya gitu terus, buang buang waktu hrus nunggu sejam ujung""nya tetep dibatalin mana lagi laper bgt dibelain nunggu👎🏻👎🏻",1
temen perjalanan,5
"mohon diperbaiki pelayanan apk nya, sudah sering mengalami pesan gofood 1 jam kemudian di cancel. driver juga banyak yg bermasalah. tolong lebih diperhatikan kembali.",3
klo hujan gak ada driver yg bisa anter makanan didaerah itu mending tutup aja aplikasinya..menyusahkan!,2
"BUAT YG BELUM PERNAH PINJAM DI SINI JANGAN SAMPE YA KARNA, TELAT 1 HARI AJA PENAGIHANNYA UDH KYA SETAN. NGALAHIN PINJOL ILEGAL. SEBAR DATA SEBAR KONTAK. GAK NGOTAK. PENGADUAN LEWAT DM DI IG EMAIL DLL PERCUMA GAK DIRESPON",1
Evaluasi komplain dari pelanggan,1
"makin kesini, kenapa gojek makin Ngga oke ya? setiap pesan ojek online maupun gofood, selalu lama. padahal jarak ngga jauh, ngga hujan, ngga badai. Kita udh laper, berharap segera datang, malah ngga dapat"" driver.",1
"selalu ada notif gak bisa bayar ke google play di jam 21.30, padahal gapernah berlangganan apapun",1
"Banyak driver sombong, jarak deket aja tarifnya selangit, mending pake apk lain aja",1
oke,5
kecewa sama driver kalian 2x mesen gofood org beda kembalian ga sesuai saya diemin mungkin lg ambil di tas/dmpet atau gmnaa eh malah bablas di chat ga bls barusan tadi sama sengaja saya diemen malah bablas wkwk 50 di pake 27 di kembalikan 12k hmm ko jadi gini gojek makin buruk para drivernya saya ga akan mereka kasih rating buruk karena mereka cari nafkah buat keluarga,3
"aplikasi yang driver gofood dan lainnya manja, hujan gerimis saja driver 2x dapat 2x kali pula dibatalin...beda Aplikasi sebelah.",1
bagus,5
apk nya bagus semoga bisa lebih berkembang dan maju lagi👌👌,5
"GOFOOD SANGAT MENGECEWAKAN DRIVER SUSAH BANGET DIDAPAT PADAHAL JARAK JUGA TIDAK JAUH, NUNGGU PROSES NYA 1 JAM TIDAK BISA DIBATALIN, AYOLAH SPT ITU SANGAT EGOIS, JIKA MEMANG SDH TIDAK ADA DRIVER YG MENGAMBIL, SEKIRANYA BISA DONG LANGSUNG DIBATALIN PESANANNYA, GAPAKE NUNGGU 1 JAM!!!",1
bagus,5
aplikasi online food yang sangat buruuuuk sekali biaya ongkos kirim mahal susah dapat driver saya pesan makanan dari jam 18.00 nyampai ke saya pukul 20.37 lamaaaaa polll lelet mahal,1
"dari dlu sllu pakai gojek,enak,nyaman,cpet,sukses sllu",5
gojek memudahkan pembelian makanan dan juga untuk mengantar ke lokasi yang ingin kita tuju,5
